x-axis,1,2,F1
second,Volt,Volt,Volt
-16.10000E-03,+1.88944722E+00,+763.81909E-03,+1.12457275E+00
-16.07500E-03,+1.89949747E+00,+804.02009E-03,+1.15469360E+00
-16.05000E-03,+1.92964822E+00,+804.02009E-03,+1.14465332E+00
-16.02500E-03,+1.93969847E+00,+793.96984E-03,+1.15469360E+00
-16.00000E-03,+1.92964822E+00,+804.02009E-03,+1.16473389E+00
-15.97500E-03,+1.96984923E+00,+804.02009E-03,+1.12457275E+00
-15.95000E-03,+2.01005023E+00,+763.81909E-03,+1.18481445E+00
-15.92500E-03,+2.01005023E+00,+804.02009E-03,+1.20489502E+00
-15.90000E-03,+2.01005023E+00,+804.02009E-03,+1.24505615E+00
-15.87500E-03,+2.05025123E+00,+804.02009E-03,+1.24505615E+00
-15.85000E-03,+2.03015073E+00,+824.12059E-03,+1.22497559E+00
-15.82500E-03,+2.05025123E+00,+804.02009E-03,+1.27517700E+00
-15.80000E-03,+2.05025123E+00,+804.02009E-03,+1.24505615E+00
-15.77500E-03,+2.08040199E+00,+773.86934E-03,+1.28521729E+00
-15.75000E-03,+2.11055274E+00,+783.91959E-03,+1.30529785E+00
-15.72500E-03,+2.10050249E+00,+804.02009E-03,+1.31533813E+00
-15.70000E-03,+2.09045224E+00,+804.02009E-03,+1.28521729E+00
